iter	MultiClass
0	1.059862434
1	1.026285758
2	0.9935689786
3	0.9681568197
4	0.9419536815
5	0.9192987521
6	0.8997954291
7	0.883003098
8	0.866106492
9	0.8506322594
10	0.8370913302
11	0.8254080505
12	0.81544448
13	0.8045972043
14	0.7944740388
15	0.7851686073
16	0.7778172282
17	0.7696847037
18	0.7621711948
19	0.7555514927
20	0.7486941022
21	0.7413914214
22	0.7361249539
23	0.729738405
24	0.7248666432
25	0.7200518674
26	0.7145159246
27	0.709731061
28	0.7049776472
29	0.6998777738
30	0.695016389
31	0.6905963324
32	0.6867142537
33	0.6827508742
34	0.6788431234
35	0.6754987996
36	0.6722685203
37	0.6698119928
38	0.6671608894
39	0.663786409
40	0.66068056
41	0.6579802583
42	0.6547338719
43	0.6515964935
44	0.6484068255
45	0.6462318407
46	0.643654981
47	0.6397812085
48	0.6377335299
49	0.6357553106
50	0.6324880744
51	0.6290043637
52	0.6274346899
53	0.6248467626
54	0.6232146377
55	0.621641819
56	0.6196010178
57	0.6171475217
58	0.6143632884
59	0.6127502358
60	0.6109146895
61	0.6082616808
62	0.6070965712
63	0.604567616
64	0.6026832926
65	0.6009787168
66	0.5985983813
67	0.5961409681
68	0.5944494084
69	0.5926194037
70	0.5909539147
71	0.589238759
72	0.5877379232
73	0.585991907
74	0.5844790933
75	0.5834184032
76	0.5813033654
77	0.5797669345
78	0.5780080154
79	0.576918442
80	0.5752898787
81	0.5743647348
82	0.5733809247
83	0.5721735855
84	0.5705736987
85	0.5690807963
86	0.5674623689
87	0.5667115805
88	0.565415753
89	0.563255732
90	0.5622038271
91	0.5604218913
92	0.5592383045
93	0.5575507517
94	0.5562227944
95	0.554411593
96	0.5535384314
97	0.5518550097
98	0.5499384596
99	0.5489163165
100	0.5478180795
101	0.5462136884
102	0.5442876533
103	0.5434570858
104	0.5419320631
105	0.5407365897
106	0.5397129076
107	0.5385682994
108	0.536837164
109	0.5353512034
110	0.534428287
111	0.5335388588
112	0.5322418279
113	0.5311249685
114	0.5302355492
115	0.529095479
116	0.5285036279
117	0.5274233571
118	0.5266895446
119	0.5249466976
120	0.5240784968
121	0.5232187335
122	0.5222546493
123	0.5213407132
124	0.5204399552
125	0.5184846145
126	0.5175041531
127	0.51624274
128	0.5151061893
129	0.5137507148
130	0.5130170378
131	0.5114758438
132	0.5105831375
133	0.5089632101
134	0.5083152845
135	0.5067246851
136	0.5060799798
137	0.5054027625
138	0.5045216909
139	0.5039764556
140	0.5025459669
141	0.5012864545
142	0.5003535408
143	0.4991623727
144	0.498271577
145	0.4973492203
146	0.4962712269
147	0.4953386571
148	0.4948077483
149	0.4938577612
150	0.4929556928
151	0.4921205833
152	0.4912476037
153	0.4900481187
154	0.489677799
155	0.4888805595
156	0.4882662392
157	0.4876352556
158	0.4864765992
159	0.4853294188
160	0.4844315385
161	0.4840014144
162	0.4831954223
163	0.4824681173
164	0.481901757
165	0.4809484011
166	0.4800629615
167	0.4794149281
168	0.4791609124
169	0.4784785561
170	0.4779664808
171	0.4773865192
172	0.4763979385
173	0.4752989958
174	0.4745998746
175	0.4736949105
176	0.4731637267
177	0.4729180916
178	0.4722046282
179	0.4716905205
180	0.471044919
181	0.4701437476
182	0.4698141449
183	0.4692683117
184	0.4689195683
185	0.468207776
186	0.4676119772
187	0.4669803178
188	0.4667327692
