iter	Passed	Remaining
0	40	40630
1	82	41209
2	124	41375
3	168	41849
4	210	41891
5	251	41740
6	293	41672
7	335	41580
8	376	41507
9	418	41428
10	459	41356
11	502	41340
12	543	41237
13	583	41115
14	624	41034
15	666	41010
16	708	40952
17	750	40938
18	795	41078
19	837	41058
20	879	41000
21	922	41000
22	963	40917
23	1006	40925
24	1047	40844
25	1088	40787
26	1129	40715
27	1170	40647
28	1211	40566
29	1253	40528
30	1294	40466
31	1336	40421
32	1380	40444
33	1421	40389
34	1463	40339
35	1504	40299
36	1546	40247
37	1587	40193
38	1629	40157
39	1671	40108
40	1712	40058
41	1754	40014
42	1795	39958
43	1836	39903
44	1877	39843
45	1919	39803
46	1961	39776
47	2004	39760
48	2045	39702
49	2086	39645
50	2128	39615
51	2171	39593
52	2213	39557
53	2254	39500
54	2295	39447
55	2337	39397
56	2378	39342
57	2420	39317
58	2461	39263
59	2504	39231
60	2546	39195
61	2589	39180
62	2631	39133
63	2672	39085
64	2714	39051
65	2755	39000
66	2797	38960
67	2839	38923
68	2881	38875
69	2923	38837
70	2965	38800
71	3007	38761
72	3048	38714
73	3090	38666
74	3132	38636
75	3180	38674
76	3233	38759
77	3285	38834
78	3338	38919
79	3382	38900
80	3424	38855
81	3466	38810
82	3508	38757
83	3549	38709
84	3591	38660
85	3635	38635
86	3681	38639
87	3724	38596
88	3767	38567
89	3809	38514
90	3850	38457
91	3890	38402
92	3934	38370
93	3977	38332
94	4018	38281
95	4061	38243
96	4102	38191
97	4144	38149
98	4185	38095
99	4228	38054
100	4270	38012
101	4312	37964
102	4354	37925
103	4397	37888
104	4439	37840
105	4482	37801
106	4523	37750
107	4564	37696
108	4605	37645
109	4646	37594
110	4687	37544
111	4729	37501
112	4770	37450
113	4812	37400
114	4853	37350
115	4895	37303
116	4937	37263
117	4981	37236
118	5022	37182
119	5063	37133
120	5104	37082
121	5146	37039
122	5188	36993
123	5229	36942
124	5271	36897
125	5312	36851
126	5353	36800
127	5395	36753
128	5436	36709
129	5478	36660
130	5518	36608
131	5562	36578
132	5603	36530
133	5645	36486
134	5687	36440
135	5729	36398
136	5770	36351
137	5811	36303
138	5853	36255
139	5895	36212
140	5936	36168
141	5979	36128
142	6021	36084
143	6062	36040
144	6105	35998
145	6147	35959
146	6190	35921
147	6231	35872
148	6272	35826
149	6314	35781
150	6355	35736
151	6397	35693
152	6438	35644
153	6481	35603
154	6522	35558
155	6563	35511
156	6604	35464
157	6645	35414
158	6686	35369
159	6728	35324
160	6772	35290
161	6814	35248
162	6855	35202
163	6896	35153
164	6937	35107
165	6978	35059
166	7019	35012
167	7060	34965
168	7100	34916
169	7141	34869
170	7183	34824
171	7224	34777
172	7266	34734
173	7307	34690
174	7350	34653
175	7393	34616
176	7435	34572
177	7476	34526
178	7518	34482
179	7559	34439
180	7601	34394
181	7642	34350
182	7683	34305
183	7724	34256
184	7765	34212
185	7806	34165
186	7847	34118
187	7888	34073
188	7929	34026
189	7973	33992
190	8014	33947
191	8057	33907
192	8097	33859
193	8139	33818
194	8181	33774
195	8222	33728
196	8262	33680
197	8304	33637
198	8345	33592
199	8386	33546
200	8427	33500
201	8469	33456
202	8509	33410
203	8554	33377
204	8595	33333
205	8636	33289
206	8677	33242
207	8718	33196
208	8760	33156
209	8801	33112
210	8843	33067
211	8884	33025
212	8926	32980
213	8968	32939
214	9009	32896
215	9051	32853
216	9094	32815
217	9137	32776
218	9183	32749
219	9228	32717
220	9273	32687
221	9319	32658
222	9364	32627
223	9409	32596
224	9455	32568
225	9500	32537
226	9546	32509
227	9592	32481
228	9640	32456
229	9686	32427
