iter	Passed	Remaining
0	4	2334
1	8	2226
2	12	2127
3	16	2066
4	20	2038
5	24	2022
6	28	1998
7	31	1965
8	35	1941
9	38	1906
10	42	1873
11	45	1854
12	48	1833
13	52	1815
14	55	1800
15	58	1782
16	62	1764
17	65	1746
18	68	1732
19	71	1718
20	74	1707
21	78	1698
22	81	1690
23	84	1683
24	88	1678
25	91	1676
26	95	1668
27	98	1659
28	101	1656
29	105	1649
30	108	1640
31	111	1635
32	115	1633
33	118	1628
34	122	1623
35	125	1616
36	128	1610
37	132	1605
38	135	1600
39	139	1599
40	143	1603
41	147	1604
42	151	1606
43	155	1607
44	158	1602
45	161	1596
46	165	1595
47	168	1590
48	172	1583
49	175	1577
50	178	1573
51	182	1568
52	185	1561
53	188	1558
54	192	1554
55	195	1550
56	198	1544
57	202	1539
58	205	1533
59	208	1528
60	211	1524
61	215	1519
62	218	1515
63	221	1511
64	225	1506
65	228	1501
66	231	1496
67	235	1493
68	238	1488
69	241	1484
70	245	1481
71	248	1476
72	251	1473
73	255	1469
74	258	1466
75	261	1461
76	265	1458
77	268	1453
78	271	1447
79	275	1444
80	278	1439
81	281	1434
82	284	1431
83	288	1428
84	291	1424
85	295	1420
86	298	1416
87	301	1412
88	305	1408
89	308	1405
90	311	1401
91	315	1397
92	318	1394
93	322	1391
94	325	1386
95	328	1383
96	331	1378
97	334	1373
98	338	1369
99	341	1366
100	345	1363
101	348	1359
102	351	1356
103	355	1352
104	358	1348
105	361	1345
106	365	1341
107	368	1338
108	372	1335
109	375	1333
110	379	1329
111	382	1326
112	387	1326
113	390	1323
114	394	1321
115	398	1319
116	402	1317
117	406	1314
118	409	1312
119	413	1309
120	417	1308
121	422	1307
122	426	1306
123	430	1305
124	434	1304
125	439	1304
126	443	1302
127	446	1297
128	449	1293
129	453	1289
130	456	1286
131	459	1282
132	463	1278
133	466	1274
134	469	1270
135	473	1266
136	476	1262
137	479	1258
138	483	1255
139	486	1251
140	489	1247
141	493	1243
142	496	1239
143	499	1235
144	503	1231
145	506	1228
146	510	1224
147	513	1220
148	516	1216
149	519	1212
150	522	1208
151	526	1204
152	529	1200
153	532	1196
154	535	1192
155	539	1188
156	542	1184
157	545	1180
158	548	1177
159	551	1172
160	555	1169
161	558	1165
162	561	1161
163	565	1158
164	568	1154
165	572	1151
166	575	1147
167	579	1144
168	582	1140
169	585	1136
170	588	1133
171	592	1129
172	595	1125
173	598	1122
174	602	1118
175	605	1114
176	608	1111
177	612	1107
178	615	1103
179	618	1099
180	622	1096
181	625	1092
182	628	1089
183	632	1085
184	635	1082
185	638	1078
186	642	1074
187	645	1071
188	649	1068
189	652	1064
190	655	1060
191	658	1057
192	662	1053
193	665	1049
194	668	1045
195	672	1042
196	675	1038
197	678	1035
198	682	1031
199	685	1027
200	688	1023
201	691	1020
202	695	1017
203	698	1013
204	701	1009
205	704	1006
206	708	1002
207	712	1000
208	715	996
209	719	993
210	722	989
211	725	985
212	729	982
213	732	979
214	735	975
215	738	971
216	742	967
217	745	964
218	748	960
219	751	956
220	754	953
221	758	949
222	761	946
223	765	942
224	768	939
225	772	936
226	775	932
227	778	929
228	782	926
229	785	922
230	789	918
231	792	915
232	795	911
233	798	908
234	802	904
235	805	900
236	808	897
237	811	893
238	815	890
239	818	886
240	821	882
241	824	879
242	828	875
243	831	872
244	834	869
245	838	865
246	841	862
247	845	858
248	848	855
249	851	851
250	854	847
251	857	844
252	861	840
253	864	837
254	867	833
255	871	830
256	874	826
257	877	823
258	881	820
259	884	816
260	888	813
261	891	809
262	895	806
263	898	803
264	901	799
265	904	796
266	908	792
267	911	788
268	914	785
269	918	782
270	921	778
271	924	775
272	928	771
273	931	768
274	934	764
275	938	761
276	941	758
277	944	754
278	948	751
279	951	747
280	955	744
281	958	741
282	961	737
283	965	734
284	968	730
285	971	727
286	975	723
287	978	720
288	981	716
289	985	713
290	988	710
291	992	706
292	995	703
293	998	699
294	1002	696
295	1005	692
296	1008	689
297	1011	685
298	1015	682
299	1018	679
300	1021	675
301	1024	672
302	1028	668
303	1031	665
304	1034	661
305	1038	658
306	1041	654
307	1044	651
308	1048	647
309	1051	644
310	1054	641
311	1058	637
312	1061	634
313	1064	630
314	1068	627
315	1071	623
316	1075	620
317	1078	617
318	1081	613
319	1084	610
320	1088	606
321	1091	603
322	1095	600
323	1098	596
324	1101	593
325	1104	589
326	1108	586
327	1111	582
328	1114	579
329	1118	576
330	1121	572
331	1124	569
332	1127	565
333	1131	562
334	1134	558
335	1137	555
336	1140	551
337	1144	548
338	1147	545
339	1151	541
340	1154	538
341	1157	534
342	1161	531
343	1164	528
344	1168	524
345	1171	521
346	1174	517
347	1177	514
348	1180	510
349	1184	507
350	1187	504
351	1190	500
352	1193	497
353	1197	493
354	1200	490
355	1204	487
356	1207	483
357	1210	480
358	1214	476
359	1217	473
360	1221	470
361	1224	466
362	1227	463
363	1231	459
364	1234	456
365	1237	453
366	1240	449
367	1243	446
368	1247	442
369	1250	439
370	1254	436
371	1257	432
372	1261	429
373	1264	426
374	1268	422
375	1271	419
376	1274	415
377	1278	412
378	1281	409
379	1284	405
380	1288	402
381	1291	398
382	1294	395
383	1297	391
384	1301	388
385	1304	385
386	1307	381
387	1311	378
388	1314	375
389	1317	371
390	1321	368
391	1324	364
392	1327	361
393	1330	358
394	1334	354
395	1337	351
396	1340	347
397	1343	344
398	1347	341
399	1351	337
400	1354	334
401	1359	331
402	1362	327
403	1365	324
404	1368	320
405	1371	317
406	1375	314
407	1378	310
408	1381	307
409	1384	303
410	1388	300
411	1392	297
412	1395	293
413	1398	290
414	1402	287
415	1405	283
416	1408	280
417	1412	277
418	1416	273
419	1419	270
420	1423	267
421	1426	263
422	1429	260
423	1432	256
424	1436	253
425	1439	250
426	1442	246
427	1445	243
428	1449	239
429	1452	236
430	1455	233
431	1459	229
432	1462	226
433	1465	222
434	1469	219
435	1472	216
436	1476	212
437	1479	209
438	1482	206
439	1485	202
440	1489	199
441	1492	195
442	1496	192
443	1499	189
444	1502	185
445	1505	182
446	1509	178
447	1512	175
448	1515	172
449	1518	168
450	1522	165
451	1525	162
452	1529	158
453	1533	155
454	1536	151
455	1539	148
456	1542	145
457	1546	141
458	1549	138
459	1552	135
460	1555	131
461	1559	128
462	1562	124
463	1566	121
464	1569	118
465	1572	114
466	1576	111
467	1580	108
468	1583	104
469	1586	101
470	1590	97
471	1593	94
472	1596	91
473	1599	87
474	1602	84
475	1606	80
476	1609	77
477	1612	74
478	1616	70
479	1619	67
480	1622	64
481	1626	60
482	1629	57
483	1632	53
484	1636	50
485	1639	47
486	1642	43
487	1645	40
488	1649	37
489	1652	33
490	1655	30
491	1658	26
492	1662	23
493	1665	20
494	1668	16
495	1671	13
496	1675	10
497	1678	6
498	1681	3
499	1684	0
